,xpaths,text,all_nodes_ordering,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,is_outside
Unnamed 148,/html/body/document/type/sequence/filename/description/text/p[671],Section 4.15,1292,/html/body/document/type/sequence/filename/description/text/p[671],Section 4.15,ssn,115.0,"[0.5199118942731278, 0.07888472222222222, 0.04628361111111111, 0.00038870173620108835]",1.0,154.0,0.5199118942731278,0.07888472222222222,0.04628361111111111,0.00038870173620108835,0
Unnamed 149,/html/body/document/type/sequence/filename/description/text/p[671]/u,Compliance with Laws,1293,/html/body/document/type/sequence/filename/description/text/p[671]/u,Compliance with Laws,sst,165.0,"[0.5199118942731278, 0.13442361111111112, 0.08818333333333334, 0.00038870173620108835]",1.0,155.0,0.5199118942731278,0.13442361111111112,0.08818333333333334,0.00038870173620108835,0
1294,/html/body/document/type/sequence/filename/description/text/p[671],.,1294,,,,,,,,,,,,1
1295,/html/body/document/type/sequence/filename/description/text/p[673],"(a)    Each of the Company and the Company Subsidiaries is, and since January 31, 2019 has been, in compliance with all, and is not in default under or in violation of any applicable Law, other than any noncompliance, default or violation that would not reasonably be expected to, individually or in the aggregate, have a Company Material Adverse Effect. Neither the Company nor any Company Subsidiary has received any written communication since January 31, 2019 and prior to the date of this Agreement from a Governmental Entity that alleges that the Company or any Company Subsidiary is not in compliance with or is in default or violation of any applicable Law, except where such non-compliance, default or violation would not reasonably be expected to, individually or in the aggregate, have a Company Material Adverse Effect. To the Knowledge of the Company, as of the date of this Agreement, no investigation or review by any Governmental Entity with respect to the Company or any Company Subsidiary is pending or threatened, other than those the outcome of which has not had and would not be reasonably likely to have, individually or in the aggregate, a Company Material Adverse Effect.",1295,,,,,,,,,,,,1
1296,/html/body/document/type/sequence/filename/description/text/p[675],"(b)    The Company and the Company Subsidiaries are in possession of all material franchises, tariffs, grants, authorizations, licenses, permits, easements, variances, exemptions, consents, certificates, approvals and orders of any Governmental Entity necessary under applicable Law to own, lease and operate their assets and properties and to lawfully carry on their businesses as they are being conducted as of the date of this Agreement (collectively, the “",1296,,,,,,,,,,,,1
1297,/html/body/document/type/sequence/filename/description/text/p[675]/u,Company Permits,1297,,,,,,,,,,,,1
1298,/html/body/document/type/sequence/filename/description/text/p[675],"”), except where the failure to be in possession of such Company Permits would not reasonably be expected to, individually or in the aggregate, have a Company Material Adverse Effect. As of the date of this Agreement, all Company Permits are valid and in full force and effect, except where the failure to be in full force and effect would not reasonably be expected to, individually or in the aggregate, have a Company Material Adverse Effect. No suspension or cancellation of any of the Company Permits is pending or, to the Knowledge of the Company, threatened and the Company and the Company Subsidiaries are in compliance with all such Company Permits, except where such suspension, cancellation or noncompliance would not reasonably be expected to, individually or in the aggregate, have a Company Material Adverse Effect.",1298,,,,,,,,,,,,1
Unnamed 150,/html/body/document/type/sequence/filename/description/text/p[677],Section 4.16,1299,/html/body/document/type/sequence/filename/description/text/p[677],Section 4.16,ssn,117.0,"[0.5259367711842446, 0.07888472222222222, 0.04628361111111111, 0.00038870173620108835]",1.0,156.0,0.5259367711842446,0.07888472222222222,0.04628361111111111,0.00038870173620108835,0
Unnamed 151,/html/body/document/type/sequence/filename/description/text/p[677]/u,Environmental Matters,1300,/html/body/document/type/sequence/filename/description/text/p[677]/u,Environmental Matters,sst,166.0,"[0.5259367711842446, 0.13442361111111112, 0.08792291666666666, 0.00038870173620108835]",1.0,157.0,0.5259367711842446,0.13442361111111112,0.08792291666666666,0.00038870173620108835,0
1301,/html/body/document/type/sequence/filename/description/text/p[677],.,1301,,,,,,,,,,,,1
1302,/html/body/document/type/sequence/filename/description/text/p[679],"(a)    Except for matters that would not reasonably be expected to, individually or in the aggregate, have a Company Material Adverse Effect:",1302,,,,,,,,,,,,1
1303,/html/body/document/type/sequence/filename/description/text/p[681],"(i)    The Company and the Company Subsidiaries are, and since January 31, 2019 have been, in compliance with all Environmental Laws, which compliance has included obtaining, maintaining, and complying with all Environmental Permits required for the operation of the business or the ownership or occupancy of the real property;",1303,,,,,,,,,,,,1
1304,/html/body/document/type/sequence/filename/description/text/p[683],"(ii)    Neither the Company nor any Company Subsidiary has received any written notice, report or other written correspondence from any Governmental Entity or other Person alleging the actual or potential violation of or liability under any Environmental Law or any Environmental Permit, in each case since January 31, 2019 or which otherwise remains pending or unresolved;",1304,,,,,,,,,,,,1
1305,/html/body/document/type/sequence/filename/description/text/p[685],"(iii)    There are no Proceedings or Judgments pending or, to the Knowledge of the Company, threatened by a Governmental Entity or other Person against the Company or any Company Subsidiary that allege a violation of or liability under any Environmental Law or any Environmental Permit;",1305,,,,,,,,,,,,1
Unnamed 152,/html/body/document/type/sequence/filename/description/text/div[42]/div[1]/div/div,37,1306,/html/body/document/type/sequence/filename/description/text/div[42]/div[1]/div/div,37,n,119.0,"[0.5311583311738792, 0.4953666666666666, 0.009261041666666667, 0.00038870173620108835]",1.0,158.0,0.5311583311738792,0.4953666666666666,0.009261041666666667,0.00038870173620108835,0
1307,/html/body/document/type/sequence/filename/description/text/p[688],"(iv)    Neither the Company nor any Company Subsidiary has treated, stored, disposed of, arranged for or permitted the disposal of, transported, handled, Released, exposed any Person to, or owned or operated any property contaminated by, any Hazardous Material so as to give rise to any liabilities (contingent or otherwise) of any Company or any Company Subsidiary pursuant to Environmental Laws;",1307,,,,,,,,,,,,1
1308,/html/body/document/type/sequence/filename/description/text/p[690],"(v)      Neither the Company nor any Company Subsidiary has provided an indemnity with respect to, or otherwise assumed by Contract, any liability of any other Person relating to Environmental Laws or Hazardous Materials.",1308,,,,,,,,,,,,1
1309,/html/body/document/type/sequence/filename/description/text/p[692],"(vi)    The Company and each Company Subsidiary has furnished all material environmental assessments, audits and reports and all other material environmental, health or safety documents prepared since January 1, 2019 in their possession or reasonable control that relate to the Company or any Company Subsidiary (including any current or former properties, facilities or operations thereof.",1309,,,,,,,,,,,,1
Unnamed 153,/html/body/document/type/sequence/filename/description/text/p[694],Section 4.17,1310,/html/body/document/type/sequence/filename/description/text/p[694],Section 4.17,ssn,120.0,"[0.5359756413578647, 0.07888472222222222, 0.04628361111111111, 0.00038870173620108835]",1.0,159.0,0.5359756413578647,0.07888472222222222,0.04628361111111111,0.00038870173620108835,0
Unnamed 154,/html/body/document/type/sequence/filename/description/text/p[694]/u,Intellectual Property,1311,/html/body/document/type/sequence/filename/description/text/p[694]/u,Intellectual Property,sst,167.0,"[0.5359756413578647, 0.13442361111111112, 0.07754444444444444, 0.00038870173620108835]",1.0,160.0,0.5359756413578647,0.13442361111111112,0.07754444444444444,0.00038870173620108835,0
1312,/html/body/document/type/sequence/filename/description/text/p[694],.,1312,,,,,,,,,,,,1
1313,/html/body/document/type/sequence/filename/description/text/p[696],"(a)    The Company and the Company Subsidiaries exclusively own the Intellectual Property owned or purported to be owned by the Company or the Company Subsidiaries, or have the right to use, all Intellectual Property used in or necessary for the operation of the businesses of the Company and the Company Subsidiaries as presently conducted (collectively, the “",1313,,,,,,,,,,,,1
1314,/html/body/document/type/sequence/filename/description/text/p[696]/u[1],Company Intellectual Property,1314,,,,,,,,,,,,1
1315,/html/body/document/type/sequence/filename/description/text/p[696],"”) free and clear of all Liens except for Permitted Liens, except where the failure to own or have the right to use such Intellectual Property would not reasonably be expected to, individually or in the aggregate, have a Company Material Adverse Effect. The Company and Company Subsidiaries have taken commercially reasonable actions to protect the Company Intellectual Property, except where the failure to do so would not reasonably be expected to, individually or in the aggregate, have a Company Material Adverse Effect.",1315,,,,,,,,,,,,1
1316,/html/body/document/type/sequence/filename/description/text/p[696]/u[2],Section,1316,,,,,,,,,,,,1
1317,/html/body/document/type/sequence/filename/description/text/p[696]/u[3],4.17(a),1317,,,,,,,,,,,,1
1318,/html/body/document/type/sequence/filename/description/text/p[696],of the Company Disclosure Letter sets forth a complete and accurate list of the registered Intellectual Property owned by the Company or the Company Subsidiaries.,1318,,,,,,,,,,,,1
1319,/html/body/document/type/sequence/filename/description/text/p[698],"(b)    To the Knowledge of the Company, (i) the use of the Company Intellectual Property by the Company and the Company Subsidiaries and the operation of the business of the Company and the Company Subsidiaries as presently conducted does not infringe upon or misappropriate any Intellectual Property of any other Person, (ii) there is no Proceeding pending or threatened challenging or seeking to deny or restrict the rights of the Company or Company Subsidiaries in the Company Intellectual Property or alleging that the use of the Company Intellectual Property in the operation of the business of the Company and the Company Subsidiaries as currently conducted infringes upon or misappropriates any Intellectual Property of any other Person, and (iii) no Person is infringing upon or misappropriating any Company Intellectual Property owned by the Company or any Company Subsidiary, in the case of each of",1319,,,,,,,,,,,,1
1320,/html/body/document/type/sequence/filename/description/text/p[698]/u[1],clauses (i),1320,,,,,,,,,,,,1
1321,/html/body/document/type/sequence/filename/description/text/p[698],through,1321,,,,,,,,,,,,1
1322,/html/body/document/type/sequence/filename/description/text/p[698]/u[2],(iii),1322,,,,,,,,,,,,1
1323,/html/body/document/type/sequence/filename/description/text/p[698],", except for such matters that would not reasonably be expected to, individually or in the aggregate, have a Company Material Adverse Effect.",1323,,,,,,,,,,,,1
1324,/html/body/document/type/sequence/filename/description/text/p[700],"(c)    Except as would not reasonably be expected to, individually or in the aggregate, have a Company Material Adverse Effect: (i) to the Knowledge of the Company, the Company and the Company Subsidiaries have not incorporated, used, or linked any open source software in or with or to the Company’s or the Company Subsidiaries’ proprietary software in a manner that requires that any of such proprietary software (other than such open source software) be disclosed or distributed in source code form; and (ii) except as stated in",1324,,,,,,,,,,,,1
1325,/html/body/document/type/sequence/filename/description/text/p[700]/u,Section 4.17(c),1325,,,,,,,,,,,,1
1326,/html/body/document/type/sequence/filename/description/text/p[700],"of the Company Disclosure Letter, the Company and the Company Subsidiaries have not delivered or made available, or agreed to deliver or make available, the source code for the Company’s and the Company Subsidiaries’ proprietary software to any Person, except to employees and contractors performing services on behalf of the Company pursuant to written Contracts containing an obligation to maintain the confidentiality of such source code and reasonably protecting the Company’s and Company Subsidiaries’ rights to such source code.",1326,,,,,,,,,,,,1
Unnamed 155,/html/body/document/type/sequence/filename/description/text/div[43]/div[1]/div/div,38,1327,/html/body/document/type/sequence/filename/description/text/div[43]/div[1]/div/div,38,n,122.0,"[0.5440088105726872, 0.4953666666666666, 0.009261041666666667, 0.00038870173620108835]",1.0,161.0,0.5440088105726872,0.4953666666666666,0.009261041666666667,0.00038870173620108835,0
1328,/html/body/document/type/sequence/filename/description/text/p[703],"(d)    Except as would not reasonably be expected to, individually or in the aggregate, have a Company Material Adverse Effect, (i) to the Knowledge of the Company the computers, systems and IT assets used by the Company and the Company Subsidiaries operate and perform in a manner that permits the Company and each Company Subsidiary to conduct its business as currently conducted, (ii) the Company and the Company Subsidiaries have taken commercially reasonable actions, consistent with industry standards, to protect the confidentiality, integrity and security of the computers, systems and IT assets used by the Company and the Company Subsidiaries (and the information stored thereon) against unauthorized use, access, interruption, modification, infection by malicious code or corruption, and to the Knowledge of the Company, no such unauthorized use, access, interruption, modification, infection or corruption has occurred, and (iii) no claims have been asserted or, to the Knowledge of the Company, threatened against the Company or any Company Subsidiary alleging any violation relating to privacy, data protection or the collection or processing of personal information or user information.",1328,,,,,,,,,,,,1
Unnamed 156,/html/body/document/type/sequence/filename/description/text/p[705],Section 4.18,1329,/html/body/document/type/sequence/filename/description/text/p[705],Section 4.18,ssn,123.0,"[0.5480202124902824, 0.07888472222222222, 0.046614583333333334, 0.00038870173620108835]",1.0,162.0,0.5480202124902824,0.07888472222222222,0.046614583333333334,0.00038870173620108835,0
Unnamed 157,/html/body/document/type/sequence/filename/description/text/p[705]/u,Insurance,1330,/html/body/document/type/sequence/filename/description/text/p[705]/u,Insurance,sst,168.0,"[0.5480202124902824, 0.13607291666666665, 0.0382975, 0.00038870173620108835]",1.0,163.0,0.5480202124902824,0.13607291666666665,0.0382975,0.00038870173620108835,0
1331,/html/body/document/type/sequence/filename/description/text/p[705],". The Company and the Company Subsidiaries maintain, or are entitled to the benefits of, insurance, underwritten by financially reputable insurance companies, in such amounts and against such risks substantially as is customary for the industries in which the Company and the Company Subsidiaries operate. Except as would not reasonably be expected to, individually or in the aggregate, have a Company Material Adverse Effect, (a) all material insurance policies maintained by or on behalf of the Company or the Company Subsidiaries as of the date of this Agreement are in full force and effect, and all premiums due on such policies have been paid and (b) the Company and the Company Subsidiaries are in compliance with the terms and provisions of all insurance policies maintained by or on behalf of the Company or the Company Subsidiaries as of the date of this Agreement, and neither the Company nor any Company Subsidiary is in breach or default under, or has taken any action that would permit termination or material modification of, any material insurance policies. As at the date of this Agreement, none of the limits for any such policy currently in force have been exhausted or materially reduced.",1331,,,,,,,,,,,,1
Unnamed 158,/html/body/document/type/sequence/filename/description/text/p[707],Section 4.19,1332,/html/body/document/type/sequence/filename/description/text/p[707],Section 4.19,ssn,125.0,"[0.5504301632547292, 0.07888472222222222, 0.04658201388888889, 0.00038870173620108835]",1.0,164.0,0.5504301632547292,0.07888472222222222,0.04658201388888889,0.00038870173620108835,0
Unnamed 159,/html/body/document/type/sequence/filename/description/text/p[707]/u[1],Brokers and Other Advisors,1333,/html/body/document/type/sequence/filename/description/text/p[707]/u[1],Brokers and Other Advisors,sst,169.0,"[0.5504301632547292, 0.13591041666666667, 0.10681944444444444, 0.00038870173620108835]",1.0,165.0,0.5504301632547292,0.13591041666666667,0.10681944444444444,0.00038870173620108835,0
1334,/html/body/document/type/sequence/filename/description/text/p[707],. Except for (i) Morgan Stanley & Co. LLC. (“,1334,,,,,,,,,,,,1
1335,/html/body/document/type/sequence/filename/description/text/p[707]/u[2],Morgan Stanley,1335,,,,,,,,,,,,1
1336,/html/body/document/type/sequence/filename/description/text/p[707],"”), which has been retained by the Special Committee, and (ii) Moelis & Company LLC, which has been retained by Pamela Lopker, the founder and President of the Company, there is no investment banker, broker, finder or other agent or intermediary that has been retained by or is authorized to act on behalf of the Company or any of the Company Subsidiaries, their respective Affiliates, or any of their respective executive officers or directors in their capacities as executive officers or directors, or who is entitled to any financial advisory, banking, broker’s, finder’s or similar fee or commission in connection with the Transactions, including the Merger.",1336,,,,,,,,,,,,1
Unnamed 160,/html/body/document/type/sequence/filename/description/text/p[709],Section 4.20,1337,/html/body/document/type/sequence/filename/description/text/p[709],Section 4.20,ssn,128.0,"[0.5520367970976937, 0.07888472222222222, 0.04648979166666667, 0.00038870173620108835]",1.0,166.0,0.5520367970976937,0.07888472222222222,0.04648979166666667,0.00038870173620108835,0
Unnamed 161,/html/body/document/type/sequence/filename/description/text/p[709]/u[1],Opinion of Financial Advisor,1338,/html/body/document/type/sequence/filename/description/text/p[709]/u[1],Opinion of Financial Advisor,sst,170.0,"[0.5520367970976937, 0.13547083333333335, 0.11119791666666666, 0.00038870173620108835]",1.0,167.0,0.5520367970976937,0.13547083333333335,0.11119791666666666,0.00038870173620108835,0
1339,/html/body/document/type/sequence/filename/description/text/p[709],". The Special Committee has received the oral opinion of Morgan Stanley, to be confirmed by delivery of its written opinion dated June 27, 2021, to the effect that, as of such date and based upon and subject to the various assumptions made, procedures followed, and limitations, qualifications and other matters considered in connection with the preparation of such opinion, the Merger Consideration to be received by the holders of Company Common Stock (excluding the holders of any shares of Company Common Stock described in",1339,,,,,,,,,,,,1
1340,/html/body/document/type/sequence/filename/description/text/p[709]/u[2],Section,1340,,,,,,,,,,,,1
1341,/html/body/document/type/sequence/filename/description/text/p[709]/u[3],"3.1(a)(iii),",1341,,,,,,,,,,,,1
1342,/html/body/document/type/sequence/filename/description/text/p[709],"the Rollover Shares and Dissenting Shares) pursuant to this Agreement is fair to such holders from a financial point of view in the aggregate. A true, complete and signed copy of such opinion shall be made available to Parent solely for informational purposes promptly following the receipt of such opinion by the Special Committee, and it is agreed and understood that such opinion is for the benefit of the Special Committee only and may not be relied on by Parent or Merger Sub or any director, officer or employee of Parent or Merger Sub.",1342,,,,,,,,,,,,1
Unnamed 162,/html/body/document/type/sequence/filename/description/text/div[44]/div[1]/div/div,39,1343,/html/body/document/type/sequence/filename/description/text/div[44]/div[1]/div/div,39,n,130.0,"[0.5544467478621404, 0.4953666666666666, 0.009261041666666667, 0.00038870173620108835]",1.0,168.0,0.5544467478621404,0.4953666666666666,0.009261041666666667,0.00038870173620108835,0
Unnamed 163,/html/body/document/type/sequence/filename/description/text/p[712],Section 4.21,1344,/html/body/document/type/sequence/filename/description/text/p[712],Section 4.21,ssn,131.0,"[0.556048199015289, 0.07888472222222222, 0.048594861111111116, 0.00038870173620108835]",1.0,169.0,0.556048199015289,0.07888472222222222,0.048594861111111116,0.00038870173620108835,0
Unnamed 164,/html/body/document/type/sequence/filename/description/text/p[712]/u,Related Party Transactions,1345,/html/body/document/type/sequence/filename/description/text/p[712]/u,Related Party Transactions,sst,132.0,"[0.556048199015289, 0.13442361111111112, 0.09924583333333332, 0.00038870173620108835]",1.0,170.0,0.556048199015289,0.13442361111111112,0.09924583333333332,0.00038870173620108835,0
1346,/html/body/document/type/sequence/filename/description/text/p[714],". Except as disclosed in the Filed Company SEC Documents, neither the Company nor any Company Subsidiary is party to any transaction or arrangement under which any (a) present or former executive officer or director of the Company or any Company Subsidiary, (b) beneficial owner (within the meaning of Section 13(d) of the Exchange Act) of 5% or more of any class of equity of the Company or (c) Affiliate, “associate” or member of the “immediate family” (as such terms are respectively defined in Rules 12b-2 and 16a-1 of the Exchange Act) of any of the foregoing is a party to any actual or proposed loan, lease or other Contract with or binding upon the Company or any Company Subsidiary or owns or has any interest in any of their respective properties or assets, in each case as would be required to be disclosed by the Company pursuant to Item 404 of Regulation S-K promulgated under the Exchange Act.",1346,,,,,,,,,,,,1
Unnamed 165,/html/body/document/type/sequence/filename/description/text/p[716],Section 4.22,1347,/html/body/document/type/sequence/filename/description/text/p[716],Section 4.22,ssn,133.0,"[0.5588598082404769, 0.07888472222222222, 0.04724388888888889, 0.00038870173620108835]",1.0,171.0,0.5588598082404769,0.07888472222222222,0.04724388888888889,0.00038870173620108835,0
Unnamed 166,/html/body/document/type/sequence/filename/description/text/p[716]/u,Takeover Laws,1348,/html/body/document/type/sequence/filename/description/text/p[716]/u,Takeover Laws,sst,171.0,"[0.5588598082404769, 0.1390736111111111, 0.05995006944444445, 0.00038870173620108835]",1.0,172.0,0.5588598082404769,0.1390736111111111,0.05995006944444445,0.00038870173620108835,0
1349,/html/body/document/type/sequence/filename/description/text/p[716],". As of the date of this Agreement, no “fair price,” “moratorium,” “control share acquisition,” “business combination” or other form of anti-takeover statute or regulation or any anti-takeover provision in the certificate of incorporation or bylaws of the Company is, and the Company has no rights plan, “poison pill” or similar agreement that is, applicable to this Agreement, the Merger or the other transactions contemplated hereby and the Company Board has taken all necessary actions so that the restrictions on business combinations set forth in Section 203 of the DGCL and any other similar applicable “anti-takeover” law will not be applicable to the Merger.",1349,,,,,,,,,,,,1
Unnamed 167,/html/body/document/type/sequence/filename/description/text/p[718],Section 4.23,1350,/html/body/document/type/sequence/filename/description/text/p[718],Section 4.23,ssn,135.0,"[0.5604664420834413, 0.07888472222222222, 0.048594861111111116, 0.00038870173620108835]",1.0,173.0,0.5604664420834413,0.07888472222222222,0.048594861111111116,0.00038870173620108835,0
Unnamed 168,/html/body/document/type/sequence/filename/description/text/p[718]/u,International Trade and Anti-Corruption,1351,/html/body/document/type/sequence/filename/description/text/p[718]/u,International Trade and Anti-Corruption,sst,172.0,"[0.5604664420834413, 0.1321125, 0.15297847222222222, 0.00038870173620108835]",1.0,174.0,0.5604664420834413,0.1321125,0.15297847222222222,0.00038870173620108835,0
1352,/html/body/document/type/sequence/filename/description/text/p[718],.,1352,,,,,,,,,,,,1
1353,/html/body/document/type/sequence/filename/description/text/p[720],"(a)    Except as would not reasonably be expected to, individually or in the aggregate, have a Company Material Adverse Effect, neither the Company nor any of the Company Subsidiaries, nor any of their respective officers, directors, nor to the Knowledge of the Company, any employee or agent or other third party representative acting on behalf of the Company or any of the Company Subsidiaries, (a) is currently, or has since January 31, 2019: (i) been a Sanctioned Person, (ii) organized, resident or located in a Sanctioned Country, (iii) engaging in any dealings or transactions with or for the benefit of any Sanctioned Person or in any Sanctioned Country, or (iv) otherwise in violation of Sanctions Laws, Ex-Im Laws, or U.S. anti-boycott Laws (collectively, “",1353,,,,,,,,,,,,1
1354,/html/body/document/type/sequence/filename/description/text/p[720]/u,Trade Control Laws,1354,,,,,,,,,,,,1
1355,/html/body/document/type/sequence/filename/description/text/p[720],"""); or (b) has at any time (i) made or accepted any unlawful payment or given, received, offered, promised, or authorized or agreed to give or receive, any money, unlawful advantage or thing of value, directly or indirectly, to or from any employee or official of any Governmental Entity or any other Person in violation of Anti-Corruption Laws; or (ii) otherwise been in violation of any Anti-Corruption Laws.",1355,,,,,,,,,,,,1
1356,/html/body/document/type/sequence/filename/description/text/p[722],"(b)    Except as would not reasonably be expected to, individually or in the aggregate, have a Company Material Adverse Effect, neither the Company nor any of the Company Subsidiaries have, in connection with or relating to the business of the Company or any of the Company Subsidiaries, received from any Governmental Entity or any Person any notice, inquiry, or internal or external allegation; made any voluntary or involuntary disclosure to a Governmental Entity; or conducted any internal investigation or audit concerning any actual or potential violation or wrongdoing in each case, related to Trade Control Laws or Anti-Corruption Laws. The Company and the Company Subsidiaries have in place written policies, procedures and internal controls, including an internal accounting controls system, that are reasonably designed to ensure compliance with applicable Trade Control Laws and Anti-Corruption Laws.",1356,,,,,,,,,,,,1
Unnamed 169,/html/body/document/type/sequence/filename/description/text/div[45]/div[1]/div/div,40,1357,/html/body/document/type/sequence/filename/description/text/div[45]/div[1]/div/div,40,n,137.0,"[0.565688002073076, 0.4953666666666666, 0.009261041666666667, 0.00038870173620108835]",1.0,175.0,0.565688002073076,0.4953666666666666,0.009261041666666667,0.00038870173620108835,0
Unnamed 170,/html/body/document/type/sequence/filename/description/text/p[725],Section 4.24,1358,/html/body/document/type/sequence/filename/description/text/p[725],Section 4.24,ssn,138.0,"[0.5672920445711324, 0.07888472222222222, 0.049224166666666666, 0.00038870173620108835]",1.0,176.0,0.5672920445711324,0.07888472222222222,0.049224166666666666,0.00038870173620108835,0
Unnamed 171,/html/body/document/type/sequence/filename/description/text/p[725]/u[1],No Other Representations or Warranties; Reliance Disclaimer,1359,/html/body/document/type/sequence/filename/description/text/p[725]/u[1],No Other Representations or Warranties; Reliance Disclaimer,sst,173.0,"[0.5672920445711324, 0.13599722222222224, 0.23206944444444444, 0.00038870173620108835]",1.0,177.0,0.5672920445711324,0.13599722222222224,0.23206944444444444,0.00038870173620108835,0
1360,/html/body/document/type/sequence/filename/description/text/p[725],". The Company acknowledges and agrees that, except for the representations and warranties set forth in",1360,,,,,,,,,,,,1
1361,/html/body/document/type/sequence/filename/description/text/p[725]/u[2],Article V,1361,,,,,,,,,,,,1
1362,/html/body/document/type/sequence/filename/description/text/p[725],"and in any Ancillary Agreement, none of Parent, the Parent Subsidiaries or any other Person acting on behalf of Parent or the Parent Subsidiaries, makes or has made any express or implied representation or warranty with respect to Parent or the Parent Subsidiaries or with respect to any other information provided to the Company or any of its Affiliates or its and their respective Representatives by or on behalf of Parent or the Parent Subsidiaries in connection with the Transactions. The Company, on its own behalf and on behalf of its Affiliates and its and their respective Representatives, disclaims reliance on any representations or warranties or other information provided to them by Parent or the Parent Subsidiaries or their respective Representatives or any other Person except for the representations and warranties expressly set forth in",1362,,,,,,,,,,,,1
1363,/html/body/document/type/sequence/filename/description/text/p[725]/u[3],Article,1363,,,,,,,,,,,,1
1364,/html/body/document/type/sequence/filename/description/text/p[725]/u[4],V,1364,,,,,,,,,,,,1
1365,/html/body/document/type/sequence/filename/description/text/p[725],and in any Ancillary Agreement.,1365,,,,,,,,,,,,1
Unnamed 172,/html/body/document/type/sequence/filename/description/text/p[727]/b,ARTICLE V,1366,/html/body/document/type/sequence/filename/description/text/p[727]/b,ARTICLE V,sn,174.0,"[0.5697019953355792, 0.47465277777777776, 0.05068902777777778, 0.00038870173620108835]",1.0,178.0,0.5697019953355792,0.47465277777777776,0.05068902777777778,0.00038870173620108835,0
Unnamed 173,/html/body/document/type/sequence/filename/description/text/p[728]/b,REPRESENTATIONS AND WARRANTIES OF PARENT AND MERGER SUB,1367,/html/body/document/type/sequence/filename/description/text/p[728]/b,REPRESENTATIONS AND WARRANTIES OF PARENT AND MERGER SUB,st,175.0,"[0.5701010624514123, 0.34153125, 0.31693819444444443, 0.00038870173620108835]",1.0,179.0,0.5701010624514123,0.34153125,0.31693819444444443,0.00038870173620108835,0
1368,/html/body/document/type/sequence/filename/description/text/p[730],Except as set forth in the disclosure letter delivered by Parent to the Company as of the date hereof (the “,1368,,,,,,,,,,,,1
1369,/html/body/document/type/sequence/filename/description/text/p[730]/u,Parent Disclosure Letter,1369,,,,,,,,,,,,1
1370,/html/body/document/type/sequence/filename/description/text/p[730],"”), Parent and Merger Sub represent and warrant to the Company as follows:",1370,,,,,,,,,,,,1
Unnamed 174,/html/body/document/type/sequence/filename/description/text/p[732],Section 5.1,1371,/html/body/document/type/sequence/filename/description/text/p[732],Section 5.1,ssn,176.0,"[0.5717076962943768, 0.07888472222222222, 0.04190541666666667, 0.00038870173620108835]",1.0,180.0,0.5717076962943768,0.07888472222222222,0.04190541666666667,0.00038870173620108835,0
Unnamed 175,/html/body/document/type/sequence/filename/description/text/p[732]/u,"Organization, General Authority and Standing",1372,/html/body/document/type/sequence/filename/description/text/p[732]/u,"Organization, General Authority and Standing",sst,177.0,"[0.5717076962943768, 0.13104930555555555, 0.17411041666666666, 0.00038870173620108835]",1.0,181.0,0.5717076962943768,0.13104930555555555,0.17411041666666666,0.00038870173620108835,0
1373,/html/body/document/type/sequence/filename/description/text/p[732],". Each of Parent and Merger Sub is duly organized, validly existing and in good standing under the laws of the jurisdiction in which it is organized (in the case of good standing, to the extent the concept is recognized by such jurisdiction). Each of Parent and Merger Sub (a) has full power and authority necessary to enable it to own, operate, lease or otherwise hold its properties and assets and to conduct its business as presently conducted and (b) is duly qualified or licensed to do business in each jurisdiction where the nature of its business makes such qualification or licensing necessary, other than where the failure to have such power and authority or to be so qualified or licensed would not reasonably be expected to, individually or in the aggregate, have a Parent Material Adverse Effect. Parent has made available to the Company true and complete copies of Parent’s Organizational Documents.",1373,,,,,,,,,,,,1
Unnamed 176,/html/body/document/type/sequence/filename/description/text/p[734],Section 5.2,1374,/html/body/document/type/sequence/filename/description/text/p[734],Section 5.2,ssn,178.0,"[0.5737185799429904, 0.07888472222222222, 0.041655833333333336, 0.00038870173620108835]",1.0,182.0,0.5737185799429904,0.07888472222222222,0.041655833333333336,0.00038870173620108835,0
Unnamed 177,/html/body/document/type/sequence/filename/description/text/p[734]/u,Capitalization and Business Conduct of Merger Sub,1375,/html/body/document/type/sequence/filename/description/text/p[734]/u,Capitalization and Business Conduct of Merger Sub,sst,179.0,"[0.5737185799429904, 0.12979583333333333, 0.1949763888888889, 0.00038870173620108835]",1.0,183.0,0.5737185799429904,0.12979583333333333,0.1949763888888889,0.00038870173620108835,0
1376,/html/body/document/type/sequence/filename/description/text/p[734],.,1376,,,,,,,,,,,,1
1377,/html/body/document/type/sequence/filename/description/text/p[736],"(a)    All of the issued and outstanding capital stock of Merger Sub is, and at the Effective Time will be, owned by Parent, free and clear of all Liens. There are no options, warrants, rights, convertible or exchangeable securities, stock-based performance units or Contracts to which Merger Sub is a party or by which Merger Sub is bound obligating Merger Sub to issue, deliver or sell, or cause to be issued, delivered or sold, additional shares of capital stock of, or any security convertible or exchangeable for any shares of capital stock of, Merger Sub.",1377,,,,,,,,,,,,1
