,xpaths,text,all_nodes_ordering,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size
1223,/html/body/document/type/sequence/filename/description/text/p[604]/u[1],Section,1223,,,,,,,,,,,,,
1224,/html/body/document/type/sequence/filename/description/text/p[604]/u[2],4.11(a),1224,,,,,,,,,,,,,
1225,/html/body/document/type/sequence/filename/description/text/p[604],"of the Company Disclosure Letter sets forth a true and complete list, as of the date of this Agreement, of each material Company Benefit Plan that is not a Foreign Plan.",1225,,,,,,,,,,,,,
1226,/html/body/document/type/sequence/filename/description/text/p[606],"(b)    With respect to each material Company Benefit Plan that is not a Foreign Plan, the Company has made available to Parent true and complete copies of (i) such material Company Benefit Plan, including any amendment thereto (or, in either case, with respect to any unwritten material Company Benefit Plan, a written description thereof), other than any Company Benefit Plan that the Company or any Company Subsidiary is prohibited from making available to Parent as a result of applicable Law relating to the safeguarding of data privacy, (ii) each current trust, material insurance, annuity or other funding Contract related thereto, (iii) the most recent annual report on Form 5500 required to be filed with the Department of Labor with respect thereto (if any), (iv) the most recent favorable Internal Revenue Service determination or opinion letter, and (v) any material non-routine correspondence with a Governmental Entity. Notwithstanding the preceding, as soon as reasonably practicable after the date hereof, but in any event no more than forty-five (45) days after the date hereof, the Company shall provide an updated",1226,,,,,,,,,,,,,
1227,/html/body/document/type/sequence/filename/description/text/p[606]/u[1],Section,1227,,,,,,,,,,,,,
1228,/html/body/document/type/sequence/filename/description/text/p[606]/u[2],4.11(a),1228,,,,,,,,,,,,,
1229,/html/body/document/type/sequence/filename/description/text/p[606],of the Company Disclosure Letter that includes all material Foreign Plans and shall provide copies of all material Foreign Plans as contemplated by this,1229,,,,,,,,,,,,,
1230,/html/body/document/type/sequence/filename/description/text/p[606]/u[3],Section 4.11(b),1230,,,,,,,,,,,,,
1231,/html/body/document/type/sequence/filename/description/text/p[606],.,1231,,,,,,,,,,,,,
1232,/html/body/document/type/sequence/filename/description/text/div[37]/div[1]/div/div,32,1232,/html/body/document/type/sequence/filename/description/text/div[37]/div[1]/div/div,32,n,104,"[0.47012956724540034, 0.4953666666666666, 0.009261041666666667, 0.00038870173620108835]",1.0,139.0,0.47012956724540034,0.4953666666666666,0.009261041666666667,0.00038870173620108835,0.47012956724540034,1.0
1233,/html/body/document/type/sequence/filename/description/text/p[609],"(c)    Each Company Benefit Plan has been maintained, funded and administered in accordance with its terms and was established, has been administered and maintained, and is in compliance with ERISA, the Code and all other applicable Laws, and, to the Knowledge of the Company, nothing has occurred and no condition exists with respect to any Company Benefit Plan that could result in a Tax, penalty or other liability of the Company or any Company Subsidiary, other than, in each case, failures that would not reasonably be expected to, individually or in the aggregate, have a Company Material Adverse Effect.  Without limiting the generality of the foregoing, with respect to each Company Benefit Plan that is subject to the Laws of a jurisdiction other than the United States (a “",1233,,,,,,,,,,,,,
1234,/html/body/document/type/sequence/filename/description/text/p[609]/u,Foreign Plan,1234,,,,,,,,,,,,,
1235,/html/body/document/type/sequence/filename/description/text/p[609],"”) and except as would not have, individually or in the aggregate, a Company Material Adverse Effect: (w) each Foreign Plan required to be registered has been timely and properly registered and has been maintained in good standing with applicable regulatory authorities, (x) each Foreign Plan intended to receive favorable tax treatment under applicable tax Laws has been qualified or similarly determined to satisfy the requirements of such Laws, (y) no Foreign Plan is a defined benefit plan or similar plan or arrangement, and (z) no Foreign Plan has any unfunded or underfunded liabilities, nor are such unfunded or underfunded liabilities reasonably expected to arise in connection with the transactions contemplated by this Agreement.",1235,,,,,,,,,,,,,
1236,/html/body/document/type/sequence/filename/description/text/p[611],"(d)    All obligations of the Company and each Company Subsidiary under or in respect of the Statutory Plans have been satisfied, and there are no outstanding defaults or violations thereunder by the Company or any Company Subsidiary, other than any such defaults or violations that would not reasonably be expected to, individually or in the aggregate, have a Company Material Adverse Effect. There is no claim or Proceeding (other than routine claims for benefits) pending or, to the Knowledge of the Company, threatened with respect to any Company Benefit Plan, and there is no fact or circumstance that could reasonably be expected to give rise to any such claim or Proceeding.",1236,,,,,,,,,,,,,
1237,/html/body/document/type/sequence/filename/description/text/p[613],"(e)    Each Company Benefit Plan intended to be “qualified” within the meaning of Section 401(a) of the Code has received a favorable determination letter or opinion letter as to such qualification from the Internal Revenue Service, and no event has occurred, either by reason of any action or failure to act, that would reasonably be expected to adversely affect any such qualification.",1237,,,,,,,,,,,,,
1238,/html/body/document/type/sequence/filename/description/text/p[615],"(f)    None of the Company, any Company Subsidiary, or any of their respective ERISA Affiliates sponsors, maintains, contributes to, is required to maintain or contribute to, or has any actual or contingent liability under, (i) any “defined benefit plan” (as defined in Section 3(35) of ERISA) or any other plan that is or was subject to Section 302 or Title IV of ERISA or Section 412 of the Code or (ii) any “multiemployer plan” within the meaning of Section 3(37) of ERISA; nor, in each case, have they sponsored, maintained or contributed to any such plan within the preceding six (6) years. Neither the Company nor any Company Subsidiary has any current or contingent liability or obligation on account of an ERISA Affiliate.",1238,,,,,,,,,,,,,
1239,/html/body/document/type/sequence/filename/description/text/p[617],"(g)    Neither the Company nor any Company Subsidiary has any material unaccrued liability in respect of post-retirement health, medical or life insurance benefits for retired, former or current employees of the Company or the Company Subsidiaries or other Persons, other than for continuation coverage required under Section 4980B of the Code or any state Laws for which the covered Person pays the full cost of coverage.",1239,,,,,,,,,,,,,
1240,/html/body/document/type/sequence/filename/description/text/div[38]/div[1]/div/div,33,1240,/html/body/document/type/sequence/filename/description/text/div[38]/div[1]/div/div,33,n,105,"[0.48056750453485353, 0.4953666666666666, 0.009261041666666667, 0.00038870173620108835]",1.0,140.0,0.48056750453485353,0.4953666666666666,0.009261041666666667,0.00038870173620108835,0.48056750453485353,1.0
1241,/html/body/document/type/sequence/filename/description/text/p[620],"(h)    None of the execution and delivery of this Agreement, the obtaining of the Company Stockholder Approval, or the consummation of the Transactions (alone or in conjunction with any other event, including any termination of employment on or following the Effective Time) could (i) result in any payment becoming due to any current or former director, officer, employee, contractor, consultant or service provider of the Company or any Company Subsidiary, (ii) increase any benefit or compensation or other obligation payable or required to be provided under any Company Benefit Plan, or otherwise, to any current or former director, officer, employee, contractor, consultant or service provider of the Company or any Company Subsidiary, (iii) result in the acceleration of the time of payment or vesting, or trigger any payment or funding, of any compensation or benefits or trigger any other obligation under any Company Benefit Plan, or (iv) result in any payments or benefits which would not reasonably be expected to be deductible under Section 280G of the Code or which would cause any Tax or penalty under Section 4999 of the Code.",1241,,,,,,,,,,,,,
1242,/html/body/document/type/sequence/filename/description/text/p[622],"(i)    Neither the Company nor any Company Subsidiary has any obligation to gross-up, indemnify or otherwise reimburse any Person for any Tax incurred by such Person under Section 409A or 4999 of the Code.",1242,,,,,,,,,,,,,
1243,/html/body/document/type/sequence/filename/description/text/p[624],Section 4.12,1243,/html/body/document/type/sequence/filename/description/text/p[624],Section 4.12,ssn,106,"[0.4853848147188391, 0.07888472222222222, 0.04648979166666667, 0.00038870173620108835]",1.0,141.0,0.4853848147188391,0.07888472222222222,0.04648979166666667,0.00038870173620108835,0.4853848147188391,1.0
1244,/html/body/document/type/sequence/filename/description/text/p[624]/u[1],Title to Properties,1244,/html/body/document/type/sequence/filename/description/text/p[624]/u[1],Title to Properties,sst,162,"[0.4853848147188391, 0.1353027777777778, 0.06925458333333334, 0.00038870173620108835]",1.0,142.0,0.4853848147188391,0.1353027777777778,0.06925458333333334,0.00038870173620108835,0.4853848147188391,1.0
1245,/html/body/document/type/sequence/filename/description/text/p[624],.,1245,,,,,,,,,,,,,
1246,/html/body/document/type/sequence/filename/description/text/p[624]/u[2],Section 4.12,1246,,,,,,,,,,,,,
1247,/html/body/document/type/sequence/filename/description/text/p[624],"of the Company Disclosure Letter sets forth, as of the date of this Agreement, the address and description of each parcel of real property owned by the Company or any Company Subsidiaries. The Company and the Company Subsidiaries have good, valid and indefeasible title (or, to the extent not owned, a valid leasehold interest) to all real and personal properties that are material to the business of the Company or any Company Subsidiary, in each case free and clear of all Liens and defects and imperfections of title except (a) for Permitted Liens and (b) such as would not reasonably be expected to, individually or in the aggregate, have a Company Material Adverse Effect. As of the date of this Agreement, there does not exist any pending or, to the Knowledge of the Company, threatened, condemnation or eminent domain proceedings that affect any of the owned or leased real property material to the business of the Company and the Company Subsidiaries, taken as a whole. Neither the Company nor any Company Subsidiary has entered into an agreement to sell or purchase any real property.",1247,,,,,,,,,,,,,
1248,/html/body/document/type/sequence/filename/description/text/p[626],Section 4.13,1248,/html/body/document/type/sequence/filename/description/text/p[626],Section 4.13,ssn,108,"[0.4877947654832858, 0.07888472222222222, 0.04628361111111111, 0.00038870173620108835]",1.0,143.0,0.4877947654832858,0.07888472222222222,0.04628361111111111,0.00038870173620108835,0.4877947654832858,1.0
1249,/html/body/document/type/sequence/filename/description/text/p[626]/u,Material Contracts,1249,/html/body/document/type/sequence/filename/description/text/p[626]/u,Material Contracts,sst,163,"[0.4877947654832858, 0.13442361111111112, 0.07146805555555556, 0.00038870173620108835]",1.0,144.0,0.4877947654832858,0.13442361111111112,0.07146805555555556,0.00038870173620108835,0.4877947654832858,1.0
1250,/html/body/document/type/sequence/filename/description/text/p[626],.,1250,,,,,,,,,,,,,
1251,/html/body/document/type/sequence/filename/description/text/p[628],"(a)    Except for this Agreement and for the Contracts disclosed in the Filed Company SEC Documents,",1251,,,,,,,,,,,,,
1252,/html/body/document/type/sequence/filename/description/text/p[628]/u[1],Section,1252,,,,,,,,,,,,,
1253,/html/body/document/type/sequence/filename/description/text/p[628]/u[2],4.13(a),1253,,,,,,,,,,,,,
1254,/html/body/document/type/sequence/filename/description/text/p[628],"of the Company Disclosure Letter sets forth a true and complete list, as of the date of this Agreement, and the Company has made available to Parent true and complete copies, of:",1254,,,,,,,,,,,,,
1255,/html/body/document/type/sequence/filename/description/text/p[630],(i)       each Contract that would be required to be filed by the Company as a “material contract” pursuant to Item 601(b)(10) of Regulation S-K under the Securities Act;,1255,,,,,,,,,,,,,
1256,/html/body/document/type/sequence/filename/description/text/p[632],"(ii)     each Contract to which the Company or any Company Subsidiary is a party that (A) restricts the ability of the Company or any Company Subsidiary to compete in any business or with any Person in any geographical area, (B) requires the Company or any Company Subsidiary to conduct any business on a “most favored nations” basis with any third party (C) provides for “exclusivity” or any similar requirement in favor of any third party or (D) provides preferential rights or rights of first or last offer or refusal to any third party, except in the case of each of clauses (B), (C) and (D) for such restrictions, requirements and provisions that are not material, individually or in the aggregate, to the Company and the Company Subsidiaries, taken as a whole;",1256,,,,,,,,,,,,,
1257,/html/body/document/type/sequence/filename/description/text/div[39]/div[1]/div/div,34,1257,/html/body/document/type/sequence/filename/description/text/div[39]/div[1]/div/div,34,n,110,"[0.4926146670121793, 0.4953666666666666, 0.009261041666666667, 0.00038870173620108835]",1.0,145.0,0.4926146670121793,0.4953666666666666,0.009261041666666667,0.00038870173620108835,0.4926146670121793,1.0
1258,/html/body/document/type/sequence/filename/description/text/p[635],"(iii)     each Contract under which the Company or any Company Subsidiary (A) (x) licenses or sublicenses Intellectual Property from or to any third party (other than (1) licenses or sublicenses of generally commercially available off-the-shelf software programs, or (2) non-exclusive licenses or sublicenses to customers in the ordinary course of business consistent with past practice) or (y) since January 31, 2019, assigned or acquired Intellectual Property to or from any third party, in the case of each of clauses (x) and (y), except for such assignments, licenses and sublicenses that are not material to the Company and the Company Subsidiaries, taken as a whole, or (B) is subject to any material restriction affecting material Intellectual Property owned by the Company or any Company Subsidiary;",1258,,,,,,,,,,,,,
1259,/html/body/document/type/sequence/filename/description/text/p[637],"(iv)    each Contract that constitutes a commitment relating to Indebtedness for borrowed money or the deferred purchase price of property by the Company or any Company Subsidiary (whether incurred, assumed, guaranteed or secured by any asset) in excess of $2 million, other than Contracts solely between or among the Company or any Company Subsidiary;",1259,,,,,,,,,,,,,
1260,/html/body/document/type/sequence/filename/description/text/p[639],"(v)      each Contract under which the Company or any Company Subsidiary is the landlord, sublandlord, tenant, subtenant or occupant with respect to any material real property leased, subleased, licensed or otherwise occupied;",1260,,,,,,,,,,,,,
1261,/html/body/document/type/sequence/filename/description/text/p[641],"(vi)     other than with respect to an entity that is wholly owned by the Company or any of the Company Subsidiaries, each partnership, joint venture or operating or limited liability company agreement, in which the Company or any Company Subsidiaries holds an interest;",1261,,,,,,,,,,,,,
1262,/html/body/document/type/sequence/filename/description/text/p[643],"(vii)    each Contract that is a settlement, conciliation or similar Contract that would require the Company or any of the Company Subsidiaries to pay consideration of more than $2 million after the date of this Agreement or that contains continuing restrictions on the business and operations of the Company and the Company Subsidiaries that are material to the business of the Company and the Company Subsidiaries, taken as a whole;",1262,,,,,,,,,,,,,
1263,/html/body/document/type/sequence/filename/description/text/p[645],(viii)    each Contract that obligates the Company or any Company Subsidiary to make any future capital investment or capital expenditure outside the ordinary course of business and in excess of $2 million individually or $10 million in the aggregate;,1263,,,,,,,,,,,,,
1264,/html/body/document/type/sequence/filename/description/text/p[647],(ix)     each Contract that prohibits the payment of dividends or distributions in respect of the capital stock of the Company or any Company Subsidiaries;,1264,,,,,,,,,,,,,
1265,/html/body/document/type/sequence/filename/description/text/p[649],"(x)       each Contract entered into since January 31, 2019 that (A) provides for the acquisition or disposition by the Company or any Company Subsidiaries of any business or material assets (whether by merger, sale of stock, sale of assets or otherwise) with a value in excess of $5 million or (B) pursuant to which the Company or any Company Subsidiaries acquired or will acquire any material ownership interest in any other Person or other business enterprise other than any Company Subsidiary, in each case, under which the Company or any Company Subsidiaries has obligations remaining to be performed as of the date hereof;",1265,,,,,,,,,,,,,
1266,/html/body/document/type/sequence/filename/description/text/p[651],"(xi)     each Contract that is with (A) each of the ten (10) largest customers of the Company and the Company Subsidiaries, taken as a whole (the “",1266,,,,,,,,,,,,,
1267,/html/body/document/type/sequence/filename/description/text/p[651]/u[1],Material Customers,1267,,,,,,,,,,,,,
1268,/html/body/document/type/sequence/filename/description/text/p[651],"”) and (B) each of the ten (10) largest commercial vendors of the Company and the Company Subsidiaries, taken as a whole (the “",1268,,,,,,,,,,,,,
1269,/html/body/document/type/sequence/filename/description/text/p[651]/u[2],Material Vendors,1269,,,,,,,,,,,,,
1270,/html/body/document/type/sequence/filename/description/text/p[651],"”), in each case by dollar amount for the fiscal year ending January 31, 2021.",1270,,,,,,,,,,,,,
1271,/html/body/document/type/sequence/filename/description/text/div[40]/div[1]/div/div,35,1271,/html/body/document/type/sequence/filename/description/text/div[40]/div[1]/div/div,35,n,111,"[0.5054625550660793, 0.4953666666666666, 0.009261041666666667, 0.00038870173620108835]",1.0,146.0,0.5054625550660793,0.4953666666666666,0.009261041666666667,0.00038870173620108835,0.5054625550660793,1.0
1272,/html/body/document/type/sequence/filename/description/text/p[654],"(xii)    each Contract that provides for (A) indemnification of any officer, director or employee by the Company, other than Contracts entered into on substantially the same form as the Company’s standard forms previously made available to Parent or (B) accelerated vesting in connection with a change of control, including the Transactions (including as a result of any termination of employment following a change of control, including the Transactions);",1272,,,,,,,,,,,,,
1273,/html/body/document/type/sequence/filename/description/text/p[656],"(xiii)    each collective bargaining agreement or other Contract with any labor union, labor organization, or works council; and",1273,,,,,,,,,,,,,
1274,/html/body/document/type/sequence/filename/description/text/p[658],"(xiv)    any Contract that is a settlement, conciliation or similar agreement with any Governmental Entity or pursuant to which the Company or a Subsidiary will have any material outstanding obligation after the date of this Agreement.",1274,,,,,,,,,,,,,
1275,/html/body/document/type/sequence/filename/description/text/p[660],Each such Contract described in,1275,,,,,,,,,,,,,
1276,/html/body/document/type/sequence/filename/description/text/p[660]/u[1],clauses (i),1276,,,,,,,,,,,,,
1277,/html/body/document/type/sequence/filename/description/text/p[660],through,1277,,,,,,,,,,,,,
1278,/html/body/document/type/sequence/filename/description/text/p[660]/u[2],(xiv),1278,,,,,,,,,,,,,
1279,/html/body/document/type/sequence/filename/description/text/p[660],above is referred to herein as a “,1279,,,,,,,,,,,,,
1280,/html/body/document/type/sequence/filename/description/text/p[660]/u[3],Company Specified Contract,1280,,,,,,,,,,,,,
1281,/html/body/document/type/sequence/filename/description/text/p[660],.”,1281,,,,,,,,,,,,,
1282,/html/body/document/type/sequence/filename/description/text/p[662],"(b)    As of the date of this Agreement, each of the Company Specified Contracts is valid, binding and enforceable on the Company or the Company Subsidiaries, as the case may be, and, to the Knowledge of the Company, each other party thereto, and is in full force and effect (i) except for such failures to be valid, binding or enforceable or to be in full force and effect as would not reasonably be expected to, individually or in the aggregate, have a Company Material Adverse Effect and (ii) except insofar as such enforceability may be limited by bankruptcy, insolvency, reorganization, moratorium or other Laws of general applicability relating to or affecting creditors’ rights, or by principles governing the availability of equitable remedies, whether considered in a Proceeding at law or in equity. As of the date of this Agreement, to the Knowledge of the Company, there is no default under any Company Specified Contract by the Company or the Company Subsidiaries or any other party thereto, and no event has occurred that (with or without notice or lapse of time, or both) would constitute a default thereunder by the Company or any Company Subsidiary or, to the Knowledge of the Company, any other party thereto, in each case except as would not reasonably be expected to, individually or in the aggregate, have a Company Material Adverse Effect.",1282,,,,,,,,,,,,,
1283,/html/body/document/type/sequence/filename/description/text/p[664],"(c)    To the Knowledge of the Company as of the date of this Agreement, since the date of the Company Balance Sheet, the Company has not received any written or, to the Knowledge of the Company, oral notice from or on behalf of any Material Customer indicating that such Material Customer intends to terminate or not renew, any current term of any Material Contract with such Material Customer.",1283,,,,,,,,,,,,,
1284,/html/body/document/type/sequence/filename/description/text/p[666],"(d)    To the Knowledge of the Company as of the date of this Agreement, since the date of the Company Balance Sheet, the Company has not received any written or, to the Knowledge of the Company, oral notice from or on behalf of any Material Vendor indicating that such Material Vendor intends to terminate, or not renew, any Material Contract with such Material Vendor.",1284,,,,,,,,,,,,,
1285,/html/body/document/type/sequence/filename/description/text/p[668],Section 4.14,1285,/html/body/document/type/sequence/filename/description/text/p[668],Section 4.14,ssn,112,"[0.5163021508162736, 0.07888472222222222, 0.047037777777777776, 0.00038870173620108835]",1.0,147.0,0.5163021508162736,0.07888472222222222,0.047037777777777776,0.00038870173620108835,0.5163021508162736,1.0
1286,/html/body/document/type/sequence/filename/description/text/p[668]/u[1],Litigation,1286,/html/body/document/type/sequence/filename/description/text/p[668]/u[1],Litigation,sst,164,"[0.5163021508162736, 0.13820000000000002, 0.03882923611111111, 0.00038870173620108835]",1.0,148.0,0.5163021508162736,0.13820000000000002,0.03882923611111111,0.00038870173620108835,0.5163021508162736,1.0
1287,/html/body/document/type/sequence/filename/description/text/p[668],". As of the date of this Agreement, there is no claim, suit, action, investigation or proceeding of any nature, civil, criminal or regulatory, in law or equity, by or before any Governmental Entity or arbitrator (each, a “",1287,,,,,,,,,,,,,
1288,/html/body/document/type/sequence/filename/description/text/p[668]/u[2],Proceeding,1288,,,,,,,,,,,,,
1289,/html/body/document/type/sequence/filename/description/text/p[668],"”) pending or, to the Knowledge of the Company, threatened against the Company or any Company Subsidiary that would reasonably be expected to, individually or in the aggregate, have a Company Material Adverse Effect, nor is there any Judgment outstanding against the Company or any Company Subsidiary that would reasonably be expected to, individually or in the aggregate, have a Company Material Adverse Effect. To the Knowledge of the Company, as of the date of this Agreement, no officer or director of the Company or any Company Subsidiary is a defendant in any material Proceeding in connection with his or her status as such.",1289,,,,,,,,,,,,,
1290,/html/body/document/type/sequence/filename/description/text/div[41]/div[1]/div/div,36,1290,/html/body/document/type/sequence/filename/description/text/div[41]/div[1]/div/div,36,n,114,"[0.5183104431199792, 0.4953666666666666, 0.009261041666666667, 0.00038870173620108835]",1.0,149.0,0.5183104431199792,0.4953666666666666,0.009261041666666667,0.00038870173620108835,0.5183104431199792,1.0
1291,/html/body/document/type/sequence/filename/description/text/p[671],Section 4.15,1291,/html/body/document/type/sequence/filename/description/text/p[671],Section 4.15,ssn,115,"[0.5199118942731278, 0.07888472222222222, 0.04628361111111111, 0.00038870173620108835]",1.0,150.0,0.5199118942731278,0.07888472222222222,0.04628361111111111,0.00038870173620108835,0.5199118942731278,1.0
1292,/html/body/document/type/sequence/filename/description/text/p[671]/u,Compliance with Laws,1292,/html/body/document/type/sequence/filename/description/text/p[671]/u,Compliance with Laws,sst,165,"[0.5199118942731278, 0.13442361111111112, 0.08818333333333334, 0.00038870173620108835]",1.0,151.0,0.5199118942731278,0.13442361111111112,0.08818333333333334,0.00038870173620108835,0.5199118942731278,1.0
1293,/html/body/document/type/sequence/filename/description/text/p[671],.,1293,,,,,,,,,,,,,
1294,/html/body/document/type/sequence/filename/description/text/p[673],"(a)    Each of the Company and the Company Subsidiaries is, and since January 31, 2019 has been, in compliance with all, and is not in default under or in violation of any applicable Law, other than any noncompliance, default or violation that would not reasonably be expected to, individually or in the aggregate, have a Company Material Adverse Effect. Neither the Company nor any Company Subsidiary has received any written communication since January 31, 2019 and prior to the date of this Agreement from a Governmental Entity that alleges that the Company or any Company Subsidiary is not in compliance with or is in default or violation of any applicable Law, except where such non-compliance, default or violation would not reasonably be expected to, individually or in the aggregate, have a Company Material Adverse Effect. To the Knowledge of the Company, as of the date of this Agreement, no investigation or review by any Governmental Entity with respect to the Company or any Company Subsidiary is pending or threatened, other than those the outcome of which has not had and would not be reasonably likely to have, individually or in the aggregate, a Company Material Adverse Effect.",1294,,,,,,,,,,,,,
1295,/html/body/document/type/sequence/filename/description/text/p[675],"(b)    The Company and the Company Subsidiaries are in possession of all material franchises, tariffs, grants, authorizations, licenses, permits, easements, variances, exemptions, consents, certificates, approvals and orders of any Governmental Entity necessary under applicable Law to own, lease and operate their assets and properties and to lawfully carry on their businesses as they are being conducted as of the date of this Agreement (collectively, the “",1295,,,,,,,,,,,,,
1296,/html/body/document/type/sequence/filename/description/text/p[675]/u,Company Permits,1296,,,,,,,,,,,,,
1297,/html/body/document/type/sequence/filename/description/text/p[675],"”), except where the failure to be in possession of such Company Permits would not reasonably be expected to, individually or in the aggregate, have a Company Material Adverse Effect. As of the date of this Agreement, all Company Permits are valid and in full force and effect, except where the failure to be in full force and effect would not reasonably be expected to, individually or in the aggregate, have a Company Material Adverse Effect. No suspension or cancellation of any of the Company Permits is pending or, to the Knowledge of the Company, threatened and the Company and the Company Subsidiaries are in compliance with all such Company Permits, except where such suspension, cancellation or noncompliance would not reasonably be expected to, individually or in the aggregate, have a Company Material Adverse Effect.",1297,,,,,,,,,,,,,
1298,/html/body/document/type/sequence/filename/description/text/p[677],Section 4.16,1298,/html/body/document/type/sequence/filename/description/text/p[677],Section 4.16,ssn,117,"[0.5259367711842446, 0.07888472222222222, 0.04628361111111111, 0.00038870173620108835]",1.0,152.0,0.5259367711842446,0.07888472222222222,0.04628361111111111,0.00038870173620108835,0.5259367711842446,1.0
1299,/html/body/document/type/sequence/filename/description/text/p[677]/u,Environmental Matters,1299,/html/body/document/type/sequence/filename/description/text/p[677]/u,Environmental Matters,sst,166,"[0.5259367711842446, 0.13442361111111112, 0.08792291666666666, 0.00038870173620108835]",1.0,153.0,0.5259367711842446,0.13442361111111112,0.08792291666666666,0.00038870173620108835,0.5259367711842446,1.0
1300,/html/body/document/type/sequence/filename/description/text/p[677],.,1300,,,,,,,,,,,,,
1301,/html/body/document/type/sequence/filename/description/text/p[679],"(a)    Except for matters that would not reasonably be expected to, individually or in the aggregate, have a Company Material Adverse Effect:",1301,,,,,,,,,,,,,
1302,/html/body/document/type/sequence/filename/description/text/p[681],"(i)    The Company and the Company Subsidiaries are, and since January 31, 2019 have been, in compliance with all Environmental Laws, which compliance has included obtaining, maintaining, and complying with all Environmental Permits required for the operation of the business or the ownership or occupancy of the real property;",1302,,,,,,,,,,,,,
1303,/html/body/document/type/sequence/filename/description/text/p[683],"(ii)    Neither the Company nor any Company Subsidiary has received any written notice, report or other written correspondence from any Governmental Entity or other Person alleging the actual or potential violation of or liability under any Environmental Law or any Environmental Permit, in each case since January 31, 2019 or which otherwise remains pending or unresolved;",1303,,,,,,,,,,,,,
1304,/html/body/document/type/sequence/filename/description/text/p[685],"(iii)    There are no Proceedings or Judgments pending or, to the Knowledge of the Company, threatened by a Governmental Entity or other Person against the Company or any Company Subsidiary that allege a violation of or liability under any Environmental Law or any Environmental Permit;",1304,,,,,,,,,,,,,
1305,/html/body/document/type/sequence/filename/description/text/div[42]/div[1]/div/div,37,1305,/html/body/document/type/sequence/filename/description/text/div[42]/div[1]/div/div,37,n,119,"[0.5311583311738792, 0.4953666666666666, 0.009261041666666667, 0.00038870173620108835]",1.0,154.0,0.5311583311738792,0.4953666666666666,0.009261041666666667,0.00038870173620108835,0.5311583311738792,1.0
1306,/html/body/document/type/sequence/filename/description/text/p[688],"(iv)    Neither the Company nor any Company Subsidiary has treated, stored, disposed of, arranged for or permitted the disposal of, transported, handled, Released, exposed any Person to, or owned or operated any property contaminated by, any Hazardous Material so as to give rise to any liabilities (contingent or otherwise) of any Company or any Company Subsidiary pursuant to Environmental Laws;",1306,,,,,,,,,,,,,
1307,/html/body/document/type/sequence/filename/description/text/p[690],"(v)      Neither the Company nor any Company Subsidiary has provided an indemnity with respect to, or otherwise assumed by Contract, any liability of any other Person relating to Environmental Laws or Hazardous Materials.",1307,,,,,,,,,,,,,
1308,/html/body/document/type/sequence/filename/description/text/p[692],"(vi)    The Company and each Company Subsidiary has furnished all material environmental assessments, audits and reports and all other material environmental, health or safety documents prepared since January 1, 2019 in their possession or reasonable control that relate to the Company or any Company Subsidiary (including any current or former properties, facilities or operations thereof.",1308,,,,,,,,,,,,,
1309,/html/body/document/type/sequence/filename/description/text/p[694],Section 4.17,1309,/html/body/document/type/sequence/filename/description/text/p[694],Section 4.17,ssn,120,"[0.5359756413578647, 0.07888472222222222, 0.04628361111111111, 0.00038870173620108835]",1.0,155.0,0.5359756413578647,0.07888472222222222,0.04628361111111111,0.00038870173620108835,0.5359756413578647,1.0
1310,/html/body/document/type/sequence/filename/description/text/p[694]/u,Intellectual Property,1310,/html/body/document/type/sequence/filename/description/text/p[694]/u,Intellectual Property,sst,167,"[0.5359756413578647, 0.13442361111111112, 0.07754444444444444, 0.00038870173620108835]",1.0,156.0,0.5359756413578647,0.13442361111111112,0.07754444444444444,0.00038870173620108835,0.5359756413578647,1.0
1311,/html/body/document/type/sequence/filename/description/text/p[694],.,1311,,,,,,,,,,,,,
1312,/html/body/document/type/sequence/filename/description/text/p[696],"(a)    The Company and the Company Subsidiaries exclusively own the Intellectual Property owned or purported to be owned by the Company or the Company Subsidiaries, or have the right to use, all Intellectual Property used in or necessary for the operation of the businesses of the Company and the Company Subsidiaries as presently conducted (collectively, the “",1312,,,,,,,,,,,,,
1313,/html/body/document/type/sequence/filename/description/text/p[696]/u[1],Company Intellectual Property,1313,,,,,,,,,,,,,
1314,/html/body/document/type/sequence/filename/description/text/p[696],"”) free and clear of all Liens except for Permitted Liens, except where the failure to own or have the right to use such Intellectual Property would not reasonably be expected to, individually or in the aggregate, have a Company Material Adverse Effect. The Company and Company Subsidiaries have taken commercially reasonable actions to protect the Company Intellectual Property, except where the failure to do so would not reasonably be expected to, individually or in the aggregate, have a Company Material Adverse Effect.",1314,,,,,,,,,,,,,
1315,/html/body/document/type/sequence/filename/description/text/p[696]/u[2],Section,1315,,,,,,,,,,,,,
1316,/html/body/document/type/sequence/filename/description/text/p[696]/u[3],4.17(a),1316,,,,,,,,,,,,,
1317,/html/body/document/type/sequence/filename/description/text/p[696],of the Company Disclosure Letter sets forth a complete and accurate list of the registered Intellectual Property owned by the Company or the Company Subsidiaries.,1317,,,,,,,,,,,,,
